date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Stock Name
2022-11-16,114.5,116.075,112.66,113.23,113.23,32439859,0.0000,1.0,META
2022-11-15,116.07,118.74,114.4116,117.08,117.08,50670499,0.0000,1.0,META
2022-11-14,110.99,116.27,110.8,114.22,114.22,53394974,0.0000,1.0,META
2022-11-11,109.23,114.9,108.81,113.02,113.02,59961742,0.0000,1.0,META
2022-11-10,107.12,112.75,104.61,111.87,111.87,80670961,0.0000,1.0,META
2022-11-09,101.72,104.9,100.74,101.47,101.47,107677284,0.0000,1.0,META
2022-11-08,95.92,97.8,94.79,96.47,96.47,52088320,0.0000,1.0,META
2022-11-07,94.78,96.88,93.1,96.72,96.72,81987295,0.0000,1.0,META
2022-11-04,90.35,91.39,88.09,90.79,90.79,55638061,0.0000,1.0,META
2022-11-03,90.08,90.4576,88.41,88.91,88.91,60664012,0.0000,1.0,META
2022-11-02,94.205,95.2,90.48,90.54,90.54,71821058,0.0000,1.0,META
2022-11-01,94.33,97.49,93.55,95.2,95.2,110189617,0.0000,1.0,META
2022-10-31,98.22,99.32,92.6,93.16,93.16,121361444,0.0000,1.0,META
2022-10-28,99.58,100.85,97.51,99.2,99.2,95928306,0.0000,1.0,META
2022-10-27,97.975,102.5,96.38,97.94,97.94,232316571,0.0000,1.0,META
2022-10-26,131.68,135.55,128.53,129.82,129.82,89294679,0.0000,1.0,META
2022-10-25,130.875,138.35,130.59,137.51,137.51,38433219,0.0000,1.0,META
2022-10-24,127.25,133.48,124.57,129.72,129.72,63563447,0.0000,1.0,META
2022-10-21,126.31,130.12,125.44,130.01,130.01,46348647,0.0000,1.0,META
2022-10-20,132.93,136.77,131.31,131.53,131.53,26356276,0.0000,1.0,META
2022-10-19,132.89,137.0,132.22,133.23,133.23,30691047,0.0000,1.0,META
2022-10-18,137.085,137.8399,131.4,132.8,132.8,25444979,0.0000,1.0,META
2022-10-17,130.3,134.79,130.18,134.04,134.04,29612245,0.0000,1.0,META
2022-10-14,131.0,131.79,126.52,126.76,126.76,23559407,0.0000,1.0,META
2022-10-13,123.53,131.14,122.5301,130.29,130.29,34325715,0.0000,1.0,META
2022-10-12,128.32,129.67,126.25,127.5,127.5,34605245,0.0000,1.0,META
2022-10-11,131.62,132.66,126.99,128.54,128.54,38481403,0.0000,1.0,META
2022-10-10,133.55,136.11,131.87,133.79,133.79,24023982,0.0000,1.0,META
2022-10-07,136.76,138.29,132.44,133.45,133.45,33214773,0.0000,1.0,META
2022-10-06,137.715,141.45,136.6,139.07,139.07,36231056,0.0000,1.0,META
2022-10-05,138.24,140.21,134.78,138.98,138.98,27979348,0.0000,1.0,META
2022-10-04,140.49,142.3901,139.34,140.28,140.28,34670729,0.0000,1.0,META
2022-10-03,137.14,139.62,136.1,138.61,138.61,27723063,0.0000,1.0,META
2022-09-30,136.05,140.99,135.5,135.68,135.68,33166393,0.0000,1.0,META
2022-09-29,139.36,139.84,135.2,136.41,136.41,38985414,0.0000,1.0,META
2022-09-28,134.62,142.03,134.27,141.61,141.61,32658478,0.0000,1.0,META
2022-09-27,137.92,139.42,134.1201,134.4,134.4,30826471,0.0000,1.0,META
2022-09-26,140.12,142.24,136.19,136.37,136.37,30497021,0.0000,1.0,META
2022-09-23,141.42,142.62,138.89,140.41,140.41,31710685,0.0000,1.0,META
2022-09-22,141.55,144.58,140.87,142.82,142.82,34162531,0.0000,1.0,META
2022-09-21,146.39,149.6,142.0,142.12,142.12,38338614,0.0000,1.0,META
2022-09-20,145.775,148.84,145.22,146.09,146.09,23217350,0.0000,1.0,META
2022-09-19,145.235,148.58,145.1,148.02,148.02,22169477,0.0000,1.0,META
2022-09-16,148.05,148.58,144.2935,146.29,146.29,40122824,0.0000,1.0,META
2022-09-15,149.8,154.1984,148.7,149.55,149.55,34606348,0.0000,1.0,META
2022-09-14,153.33,153.54,149.05,151.47,151.47,43064195,0.0000,1.0,META
2022-09-13,161.54,161.63,152.67,153.13,153.13,44444061,0.0000,1.0,META
2022-09-12,167.39,171.39,167.28,168.96,168.96,23220405,0.0000,1.0,META
2022-09-09,163.248,169.54,163.02,169.15,169.15,22129802,0.0000,1.0,META
2022-09-08,158.71,162.23,157.74,162.06,162.06,22530785,0.0000,1.0,META
2022-09-07,157.76,160.955,156.81,160.39,160.39,16831182,0.0000,1.0,META
2022-09-06,160.1,161.69,157.69,158.54,158.54,19282598,0.0000,1.0,META
2022-09-02,167.45,167.93,159.22,160.32,160.32,22634191,0.0000,1.0,META
2022-09-01,163.58,167.3599,160.345,165.36,165.36,30145683,0.0000,1.0,META
2022-08-31,167.07,167.84,162.14,162.93,162.93,40952975,0.0000,1.0,META
2022-08-30,160.355,161.66,155.91,157.16,157.16,19567948,0.0000,1.0,META
2022-08-29,160.655,163.05,159.01,159.17,159.17,19771863,0.0000,1.0,META
2022-08-26,168.48,170.92,161.6726,161.78,161.78,24023633,0.0000,1.0,META
2022-08-25,165.18,168.88,164.02,168.78,168.78,15550514,0.0000,1.0,META
2022-08-24,160.6,165.46,159.77,163.26,163.26,20891481,0.0000,1.0,META
2022-08-23,162.48,165.05,160.7,161.11,161.11,18111777,0.0000,1.0,META
2022-08-22,165.49,165.49,162.26,163.05,163.05,19499711,0.0000,1.0,META
2022-08-19,170.2,172.32,167.05,167.96,167.96,26240799,0.0000,1.0,META
2022-08-18,174.34,175.76,171.86,174.66,174.66,18844451,0.0000,1.0,META
2022-08-17,176.76,178.14,174.17,174.85,174.85,20118133,0.0000,1.0,META
2022-08-16,179.44,180.99,177.035,179.47,179.47,21156710,0.0000,1.0,META
2022-08-15,178.96,181.44,178.2,180.89,180.89,15878671,0.0000,1.0,META
2022-08-12,180.81,181.4572,178.911,180.5,180.5,21274046,0.0000,1.0,META
2022-08-11,179.71,183.1,176.37,177.49,177.49,24079062,0.0000,1.0,META
2022-08-10,175.99,180.48,173.95,178.34,178.34,30262132,0.0000,1.0,META
2022-08-09,168.95,169.53,166.6,168.53,168.53,18655056,0.0000,1.0,META
2022-08-08,168.0,177.51,167.13,170.25,170.25,27299113,0.0000,1.0,META
2022-08-05,166.99,171.612,165.8,167.11,167.11,25832701,0.0000,1.0,META
2022-08-04,168.295,172.15,166.8,170.57,170.57,23938212,0.0000,1.0,META
2022-08-03,162.69,169.54,161.57,168.8,168.8,31717527,0.0000,1.0,META
2022-08-02,158.31,162.24,158.01,160.19,160.19,27374516,0.0000,1.0,META
2022-08-01,157.25,165.19,155.2301,159.93,159.93,40596702,0.0000,1.0,META
2022-07-29,157.69,160.14,155.17,159.1,159.1,42065395,0.0000,1.0,META
2022-07-28,161.06,161.51,154.85,160.72,160.72,73214326,0.0000,1.0,META
2022-07-27,162.59,170.87,162.02,169.58,169.58,43846557,0.0000,1.0,META
2022-07-26,165.94,166.0,157.95,159.15,159.15,28468424,0.0000,1.0,META
2022-07-25,169.0,170.57,164.805,166.65,166.65,26166326,0.0000,1.0,META
2022-07-22,173.07,175.5995,168.41,169.27,169.27,42583916,0.0000,1.0,META
2022-07-21,180.63,183.85,178.87,183.17,183.17,27195815,0.0000,1.0,META
2022-07-20,177.485,183.6,176.7,183.09,183.09,24784274,0.0000,1.0,META
2022-07-19,170.37,176.49,169.51,175.78,175.78,25933679,0.0000,1.0,META
2022-07-18,166.75,171.685,165.64,167.23,167.23,23574337,0.0000,1.0,META
2022-07-15,160.54,164.98,159.82,164.7,164.7,23342807,0.0000,1.0,META
2022-07-14,161.22,162.59,157.2801,158.05,158.05,23765168,0.0000,1.0,META
2022-07-13,160.16,164.98,159.6127,163.49,163.49,16555138,0.0000,1.0,META
2022-07-12,164.8,165.9107,162.1,163.27,163.27,16639659,0.0000,1.0,META
2022-07-11,167.065,167.49,161.91,162.88,162.88,21905133,0.0000,1.0,META
2022-07-08,169.98,172.4,168.1501,170.88,170.88,19249243,0.0000,1.0,META
2022-07-07,169.45,172.72,167.78,172.19,172.19,24083368,0.0000,1.0,META
2022-07-06,168.2,171.59,165.46,169.77,169.77,23085921,0.0000,1.0,META
2022-07-05,158.14,168.25,157.02,168.19,168.19,28664799,0.0000,1.0,META
2022-07-01,160.31,160.62,155.0,160.03,160.03,31423933,0.0000,1.0,META
2022-06-30,162.15,165.23,158.49,161.25,161.25,35250605,0.0000,1.0,META
2022-06-29,163.57,166.33,160.32,163.94,163.94,28595236,0.0000,1.0,META
2022-06-28,169.9,171.3,160.61,160.68,160.68,27788725,0.0000,1.0,META
2022-11-16,149.13,149.87,147.29,148.79,148.79,64050900,0.0000,1.0,AAPL
2022-11-15,152.215,153.59,148.5613,150.04,150.04,89868332,0.0000,1.0,AAPL
2022-11-14,148.97,150.28,147.43,148.28,148.28,73374114,0.0000,1.0,AAPL
2022-11-11,145.82,150.01,144.37,149.7,149.7,93979665,0.0000,1.0,AAPL
2022-11-10,141.24,146.87,139.5,146.87,146.87,118854028,0.0000,1.0,AAPL
2022-11-09,138.5,138.55,134.5933,134.87,134.87,74917794,0.0000,1.0,AAPL
2022-11-08,140.41,141.43,137.49,139.5,139.5,89908477,0.0000,1.0,AAPL
2022-11-07,137.11,139.145,135.671,138.92,138.92,83374628,0.0000,1.0,AAPL
2022-11-04,142.09,142.67,134.38,138.38,138.38,140814796,0.2300,1.0,AAPL
2022-11-03,142.06,142.8,138.75,138.88,138.64955198,97918516,0.0000,1.0,AAPL
2022-11-02,148.945,152.17,145.0,145.03,144.789347089,93604623,0.0000,1.0,AAPL
2022-11-01,155.08,155.45,149.13,150.65,150.400021643,80379345,0.0000,1.0,AAPL
2022-10-31,153.155,154.24,151.92,153.34,153.085558041,97943171,0.0000,1.0,AAPL
2022-10-28,148.2,157.5,147.82,155.74,155.481575644,164762371,0.0000,1.0,AAPL
2022-10-27,148.07,149.046,144.13,144.8,144.559728735,109180150,0.0000,1.0,AAPL
2022-10-26,150.96,151.99,148.04,149.35,149.102178775,88436172,0.0000,1.0,AAPL
2022-10-25,150.09,152.49,149.36,152.34,152.087217372,74732290,0.0000,1.0,AAPL
2022-10-24,147.185,150.23,146.0,149.45,149.202012842,75981918,0.0000,1.0,AAPL
2022-10-21,142.87,147.8479,142.649,147.27,147.025630185,86548609,0.0000,1.0,AAPL
2022-10-20,143.02,145.89,142.65,143.39,143.152068393,64521989,0.0000,1.0,AAPL
2022-10-19,141.69,144.9492,141.5,143.86,143.621288507,61758340,0.0000,1.0,AAPL
2022-10-18,145.49,146.7,140.61,143.75,143.511471034,99136610,0.0000,1.0,AAPL
2022-10-17,141.065,142.9,140.27,142.41,142.173694539,85250939,0.0000,1.0,AAPL
2022-10-14,144.31,144.52,138.19,138.38,138.150381646,88597969,0.0000,1.0,AAPL
2022-10-13,134.99,143.59,134.37,142.99,142.752732126,113223975,0.0000,1.0,AAPL
2022-10-12,139.13,140.36,138.16,138.34,138.11044802,70433744,0.0000,1.0,AAPL
2022-10-11,139.9,141.35,138.22,138.98,138.749386047,77033672,0.0000,1.0,AAPL
2022-10-10,140.42,141.89,138.5729,140.42,140.186996609,74899002,0.0000,1.0,AAPL
2022-10-07,142.54,143.1,139.445,140.09,139.857544189,85925559,0.0000,1.0,AAPL
2022-10-06,145.81,147.54,145.22,145.43,145.188683356,68402169,0.0000,1.0,AAPL
2022-10-05,144.075,147.38,143.01,146.4,146.157073804,79470968,0.0000,1.0,AAPL
2022-10-04,145.03,146.22,144.26,146.1,145.857571604,87830064,0.0000,1.0,AAPL
2022-10-03,138.21,143.07,137.685,142.45,142.213628165,114311663,0.0000,1.0,AAPL
2022-09-30,141.28,143.1,138.0,138.2,137.970680326,124925274,0.0000,1.0,AAPL
2022-09-29,146.1,146.72,140.68,142.48,142.243578385,128138237,0.0000,1.0,AAPL
2022-09-28,147.64,150.6414,144.84,149.84,149.591365702,146691387,0.0000,1.0,AAPL
2022-09-27,152.74,154.72,149.945,151.76,151.508179785,84442741,0.0000,1.0,AAPL
2022-09-26,149.66,153.7701,149.64,150.77,150.519822524,93339409,0.0000,1.0,AAPL
